City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hobart,-42.8794,147.3294,58.12,50,75,16.11,AU,1628221700
Lüderitz,-26.6481,15.1594,54.05,75,33,0.96,NA,1628221700
Jamestown,42.097,-79.2353,67.59,81,20,2.75,US,1628221701
Bambous Virieux,-20.3428,57.7575,66.22,88,40,4.61,MU,1628221701
Lorengau,-2.0226,147.2712,83.32,79,18,11.16,PG,1628221701
Kuminskiy,58.6667,66.5667,66.83,90,100,5.3,RU,1628221701
Tasiilaq,65.6145,-37.6368,36.23,78,14,4.54,GL,1628221702
Umluj,25.0213,37.2685,87.85,64,1,3.18,SA,1628221702
Luorong,24.4058,109.6086,89.85,66,91,0.6,CN,1628221702
Evensk,61.95,159.2333,58.89,57,67,30.56,RU,1628221703
Hilo,19.7297,-155.09,80.33,82,40,6.91,US,1628221703
Mount Darwin,-16.7725,31.5838,49.15,69,0,1.7,ZW,1628221703
Korla,41.7597,86.1469,89.47,16,100,10.6,CN,1628221704
Saint George,37.1041,-113.5841,100.99,13,1,1.01,US,1628221508
Karratha,-20.7377,116.8463,77.68,25,21,25.3,AU,1628221704
Kasongo,-4.45,26.6667,75.69,49,62,3.74,CD,1628221704
Lyubech,51.7026,30.6569,65.19,88,100,11.95,UA,1628221705
Gorontalo,0.5412,123.0595,87.39,65,88,8.41,ID,1628221705
Labuhan,-6.8844,112.2051,87.96,57,85,11.72,ID,1628221705
Yellowknife,62.456,-114.3525,58.28,58,20,5.75,CA,1628221706
Atuona,-9.8,-139.0333,78.03,75,27,14.38,PF,1628221706
Rikitea,-23.1203,-134.9692,74.16,75,10,14.5,PF,1628221706
Vaini,-21.2,-175.2,77.16,78,20,13.8,TO,1628221707
Kargasok,59.0556,80.8572,70.74,68,36,4.09,RU,1628221707
Puerto Ayora,-0.7393,-90.3518,71.55,92,68,7.0,EC,1628221707
Albany,42.6001,-73.9662,66.88,91,4,3.58,US,1628221707
Progreso,21.2833,-89.6667,81.81,76,3,15.97,MX,1628221708
Saint-Pierre,-21.3393,55.4781,67.64,64,40,4.61,RE,1628221708
Thompson,55.7435,-97.8558,53.76,71,90,3.44,CA,1628221508
Tevaitoa,-16.7833,-151.5,78.69,71,66,5.88,PF,1628221708
San Patricio,28.017,-97.5169,82.83,75,100,6.35,US,1628221709
Carnarvon,-24.8667,113.6333,75.27,31,75,16.11,AU,1628221698
Bilibino,68.0546,166.4372,72.18,43,9,8.12,RU,1628221709
Chiredzi,-21.05,31.6667,54.9,63,0,3.13,ZW,1628221709
Yeppoon,-23.1333,150.7333,73.18,45,97,7.67,AU,1628221710
Cape Town,-33.9258,18.4232,53.11,91,0,1.14,ZA,1628221710
Mataura,-46.1927,168.8643,49.48,82,79,4.34,NZ,1628221710
North Bend,43.4065,-124.2243,64.92,91,1,4.61,US,1628221711
Talnakh,69.4865,88.3972,76.91,49,87,1.61,RU,1628221711
Puri,19.8,85.85,88.32,65,75,6.42,IN,1628221711
Pacasmayo,-7.4006,-79.5714,62.94,89,1,9.17,PE,1628221712
Busselton,-33.65,115.3333,64.04,66,0,14.97,AU,1628221666
Benghazi,32.1167,20.0667,83.46,54,0,2.08,LY,1628221548
Mount Isa,-20.7333,139.5,69.57,21,3,11.5,AU,1628221712
Cabo San Lucas,22.8909,-109.9124,84.51,77,88,3.0,MX,1628221712
Caravelas,-17.7125,-39.2481,70.5,70,100,9.46,BR,1628221713
Yulara,-25.2406,130.9889,62.44,34,0,13.8,AU,1628221713
Anchorage,61.2181,-149.9003,70.75,72,1,8.05,US,1628221508
Livingston,55.9029,-3.5226,58.86,94,75,9.22,GB,1628221401
Ushuaia,-54.8,-68.3,38.86,65,75,17.27,AR,1628221714
Muros,42.7762,-9.0603,64.24,89,97,2.75,ES,1628221714
Nantucket,41.2835,-70.0995,69.03,98,100,12.24,US,1628221714
Bengkulu,-3.8004,102.2655,84.09,66,93,2.98,ID,1628221714
Kuching,1.55,110.3333,88.02,70,40,2.3,MY,1628221715
George Town,5.4112,100.3354,89.53,68,20,2.3,MY,1628221715
Rockland,41.1668,-74.0496,72.23,90,89,3.58,US,1628221715
Severo-Kuril'sk,50.6789,156.125,56.43,62,3,14.61,RU,1628221716
New Norfolk,-42.7826,147.0587,57.76,60,94,8.01,AU,1628221716
Ulaangom,49.9811,92.0667,60.42,72,100,3.31,MN,1628221716
